datetime,ticker,chain_detected
2025-11-28 22:05:00,BTCUSDT,0
2025-11-28 22:06:00,BTCUSDT,0
2025-11-28 22:07:00,BTCUSDT,0
2025-11-28 22:08:00,BTCUSDT,0
2025-11-28 22:09:00,BTCUSDT,0
2025-11-28 22:10:00,BTCUSDT,0
2025-11-28 22:11:00,BTCUSDT,0
2025-11-28 22:12:00,BTCUSDT,0
2025-11-28 22:13:00,BTCUSDT,0
2025-11-28 22:14:00,BTCUSDT,0
2025-11-28 22:15:00,BTCUSDT,0
2025-11-28 22:16:00,BTCUSDT,0
2025-11-28 22:17:00,BTCUSDT,0
2025-11-28 22:18:00,BTCUSDT,0
2025-11-28 22:19:00,BTCUSDT,0
2025-11-28 22:20:00,BTCUSDT,0
2025-11-28 22:21:00,BTCUSDT,0
2025-11-28 22:22:00,BTCUSDT,0
2025-11-28 22:23:00,BTCUSDT,0
2025-11-28 22:24:00,BTCUSDT,0
2025-11-28 22:25:00,BTCUSDT,0
2025-11-28 22:26:00,BTCUSDT,0
2025-11-28 22:27:00,BTCUSDT,0
2025-11-28 22:28:00,BTCUSDT,0
2025-11-28 22:29:00,BTCUSDT,0
2025-11-28 22:30:00,BTCUSDT,0
2025-11-28 22:31:00,BTCUSDT,0
2025-11-28 22:32:00,BTCUSDT,0
2025-11-28 22:33:00,BTCUSDT,0
2025-11-28 22:34:00,BTCUSDT,0
2025-11-28 22:35:00,BTCUSDT,0
2025-11-28 22:36:00,BTCUSDT,0
2025-11-28 22:37:00,BTCUSDT,0
2025-11-28 22:38:00,BTCUSDT,0
2025-11-28 22:39:00,BTCUSDT,0
2025-11-28 22:40:00,BTCUSDT,0
2025-11-28 22:41:00,BTCUSDT,0
2025-11-28 22:42:00,BTCUSDT,0
2025-11-28 22:43:00,BTCUSDT,0
2025-11-28 22:44:00,BTCUSDT,0
2025-11-28 22:45:00,BTCUSDT,0
2025-11-28 22:46:00,BTCUSDT,0
2025-11-28 22:47:00,BTCUSDT,0
2025-11-28 22:48:00,BTCUSDT,0
2025-11-28 22:49:00,BTCUSDT,0
2025-11-28 22:50:00,BTCUSDT,0
2025-11-28 22:51:00,BTCUSDT,0
2025-11-28 22:52:00,BTCUSDT,0
2025-11-28 22:53:00,BTCUSDT,0
2025-11-28 22:54:00,BTCUSDT,0
2025-11-28 22:55:00,BTCUSDT,0
2025-11-28 22:56:00,BTCUSDT,0
2025-11-28 22:57:00,BTCUSDT,0
2025-11-28 22:58:00,BTCUSDT,0
